0.068	-0.088
0.029	-0.220
0.098	0.000
0.161	-0.024
0.161	-0.254
0.146	-0.342
0.093	-0.156
0.059	-0.234
-0.049	-0.396
-0.112	-0.220
-0.073	-0.322
-0.107	-0.298
-0.205	-0.273
-0.225	-0.303
-0.137	-0.425
-0.083	-0.264
-0.103	-0.381
-0.112	-0.479
-0.020	-0.278
0.059	-0.405
0.156	-0.469
0.229	-0.386
0.176	-0.562
0.215	-0.469
0.303	-0.366
0.186	-0.464
0.098	-0.356
0.200	-0.200
0.044	-0.273
-0.103	-0.225
-0.010	-0.024
-0.103	-0.190
-0.171	-0.161
-0.107	-0.005
-0.103	0.063
-0.034	-0.015
-0.024	-0.034
-0.068	-0.054
0.015	0.039
0.156	0.054
0.146	0.093
0.176	-0.083
0.283	-0.029
0.205	-0.073
0.195	-0.005
0.254	0.083
0.142	-0.181
0.073	-0.171
0.068	-0.112
-0.054	-0.112
-0.181	-0.088
-0.244	0.049
-0.444	-0.137
-0.298	-0.044
-0.474	0.112
-0.439	0.137
-0.425	0.273
-0.601	0.107
-0.376	0.161
-0.044	0.254
-0.337	0.103
-0.332	0.239
-0.132	0.332
-0.015	0.112
0.049	0.137
0.088	0.259
-0.020	0.059
0.039	0.068
0.166	0.166
0.098	0.054
0.142	0.239
0.010	0.039
0.059	-0.059
-0.015	0.068
0.146	-0.186
0.122	-0.059
-0.005	-0.024
-0.107	-0.273
0.010	-0.098
-0.015	-0.078
0.034	-0.156
0.088	-0.034
0.010	-0.098
0.132	-0.186
0.234	-0.127
0.220	-0.303
0.186	-0.361
0.264	-0.278
0.337	-0.244
0.361	-0.293
0.366	-0.176
0.259	-0.332
0.132	-0.332
0.161	-0.210
0.269	-0.317
0.327	-0.518
0.176	-0.195
0.020	-0.342
-0.010	-0.327
0.049	-0.259
0.049	-0.225
0.039	-0.229
0.039	-0.161
0.073	-0.249
0.142	-0.254
0.195	-0.200
0.234	0.015
0.269	-0.005
0.161	-0.195
0.229	-0.073
0.278	0.171
0.078	0.542
0.122	0.151
0.146	-0.347
0.181	0.317
0.088	0.303
-0.034	-0.259
-0.078	0.254
-0.005	0.273
0.054	0.293
-0.059	0.669
-0.186	0.225
-0.093	0.239
-0.010	0.391
-0.098	0.073
-0.078	0.259
-0.015	0.796
-0.039	0.317
-0.083	0.029
-0.034	-0.239
-0.122	0.640
-0.107	0.933
-0.083	-0.083
-0.142	-0.347
-0.210	0.039
-0.249	0.518
-0.225	0.361
-0.234	-0.181
-0.225	-0.527
-0.181	-0.737
-0.195	-0.493
-0.239	0.737
-0.161	1.694
-0.122	0.244
-0.088	-1.455
-0.054	-1.206
0.024	0.073
0.107	2.002
0.068	1.714
0.068	-0.073
0.146	-0.068
0.156	0.957
0.093	0.547
0.098	-0.161
0.083	-0.879
0.015	-0.991
-0.093	0.039
-0.088	0.498
-0.039	0.308
-0.015	0.000
-0.039	-0.312
0.034	-0.093
0.215	-0.068
0.220	-0.566
0.151	-0.825
0.244	-0.811
0.356	-0.317
0.347	0.059
0.332	-0.161
0.366	-0.220
0.479	-0.107
0.527	0.239
0.400	0.098
0.278	-0.234
0.239	-0.303
0.220	-0.024
0.103	-0.039
-0.020	-0.249
-0.034	-0.229
0.000	-0.264
0.117	-0.171
0.225	-0.059
0.186	-0.210
0.273	-0.342
0.410	-0.249
0.420	-0.229
0.493	-0.078
0.498	0.083
0.366	-0.107
0.513	-0.195
0.488	0.059
0.435	0.156
0.352	0.205
0.327	0.034
0.322	-0.107
0.303	0.088
0.190	-0.010
0.049	-0.073
-0.029	-0.146
-0.020	-0.103
0.029	-0.117
-0.054	-0.044
-0.142	-0.186
-0.127	-0.107
-0.156	-0.005
-0.166	-0.054
-0.146	-0.156
-0.176	-0.020
-0.166	0.020
-0.210	0.015
-0.244	0.112
-0.273	-0.083
-0.371	0.122
-0.435	0.273
-0.454	0.205
-0.449	0.103
-0.562	-0.005
-0.566	-0.029
-0.498	0.190
-0.547	0.059
-0.610	-0.103
-0.566	-0.098
-0.527	-0.039
-0.479	0.210
-0.396	0.244
-0.317	0.107
-0.220	0.366
-0.137	0.547
-0.093	0.654
-0.063	0.732
0.103	0.654
0.132	0.703
0.127	0.801
0.186	0.786
0.205	0.571
0.112	0.391
0.127	0.225
0.073	0.366
0.020	0.366
0.068	0.034
0.122	0.039
0.078	-0.024
0.151	0.063
0.225	0.200
0.215	-0.073
0.234	-0.220
0.234	-0.015
0.205	-0.142
0.332	-0.024
0.366	-0.054
0.288	-0.039
0.210	0.151
0.264	-0.098
0.195	-0.161
0.044	-0.083
-0.073	0.010
-0.273	-0.200
-0.327	-0.273
-0.400	-0.220
-0.669	-0.425
-0.796	-0.483
-0.752	-0.449
-0.684	-0.591
-0.767	-0.566
-0.713	-0.605
-0.542	-0.581
-0.425	-0.767
-0.337	-0.630
-0.298	-0.576
-0.186	-0.635
0.073	-0.635
0.244	-0.420
0.200	-0.264
0.332	-0.371
0.420	-0.156
0.361	-0.225
0.381	-0.063
0.361	0.034
0.308	-0.259
0.317	-0.049
0.244	0.156
0.205	0.210
0.220	0.034
0.195	0.039
0.010	0.122
0.020	0.161
0.000	0.112
-0.107	0.039
-0.186	0.205
-0.229	0.161
-0.283	0.239
-0.283	0.244
-0.361	0.142
-0.361	0.361
-0.259	0.264
-0.220	0.259
-0.181	0.391
-0.127	0.303
-0.137	0.396
-0.020	0.356
0.186	0.303
0.288	0.234
0.293	0.381
0.342	0.371
0.298	0.127
0.312	0.176
0.396	0.312
0.244	0.034
0.215	0.176
0.244	0.293
0.244	0.063
0.205	0.098
0.117	0.029
0.029	-0.122
0.039	-0.015
-0.083	-0.176
-0.190	-0.376
-0.146	-0.298
-0.171	-0.190
-0.195	-0.273
-0.215	-0.327
-0.186	-0.439
-0.039	-0.435
0.020	-0.283
-0.010	-0.317
0.083	-0.371
0.166	-0.439
0.215	-0.342
0.283	-0.205
0.352	-0.352
0.361	-0.347
0.376	-0.342
0.356	-0.332
0.400	-0.312
0.435	-0.312
0.376	-0.464
0.352	-0.396
0.347	-0.381
0.420	-0.435
0.420	-0.210
0.337	-0.317
0.337	-0.420
0.278	-0.229
0.254	-0.283
0.322	-0.254
0.254	-0.151
0.088	-0.342
0.029	-0.190
0.005	0.000
-0.083	-0.225
-0.234	-0.063
-0.312	0.088
-0.439	-0.181
-0.483	0.176
-0.518	0.073
-0.635	0.044
-0.605	0.239
-0.547	0.044
-0.513	0.137
